X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.067100704984,47.4653860943431,1,10000032,5733,66,Station 79,79,20505 SE 152nd St,98059
-122.313909908009,47.5523015362919,2,905,490884,664,Cleveland STEM High School,Cleveland,5511 15th Ave S,98108
-122.195782235658,47.6575002005915,3,6600168,35858,663,Northwest University,NW University,5520 108th Ave NE,98033
-122.264083028106,47.3194316463159,4,7,33,660,Evergreen Heights Elementary School,Evergreen Heights,5602 S 316th St,98001
-122.26135948148,47.3338448125925,5,6600283,692199,660,Meredith Hill Elementary School,Hill,5830 S 300th St  ,98001
-122.259132135213,47.468914133583,6,6600241,21158,660,Tukwila Elementary School,Tukwila,5939 S 149th St,98168
-122.362138345222,47.5486221466458,7,882,498220,664,Louisa Boren STEM K-8 School,Boren,5950 Delridge Way SW,98106
-122.364217730897,47.6601784104312,8,6600665,1012520,664,Pacific Crest School,Pacific Crest,600 NW Bright St,98107
-122.351090838088,47.5485179506928,9,892,786088,663,South Seattle College,South Seattle College,6000 16th Ave SW,98106
-122.138594888887,47.6618078042622,10,612,568273,660,Benjamin Rush Elementary School,Rush,6101 152nd Ave NE,98052
-122.325165841968,47.4844213067453,11,1268,152,660,Cedarhurst Elementary School,Cedarhurst,611 S 132nd St,98168
-122.392119311483,47.6734992329571,12,895,324373,660,Adams Elementary School,Adams,6110 28th Ave NW,98107
-122.23530279022,47.2964663229301,13,6600519,47,665,Auburn Maint/Ops/Trans Center,Auburn MOT,615 15th St SW,98001
-122.3052680006,47.5840405509285,14,1191,1268205,660,Giddens School,Giddens,2120 21st Ave S,98144
-122.220143552896,47.2745259840262,15,6600534,57,661,Mt. Baker Middle School,Mt. Baker,620 37th St SE,98002
-122.229658222945,47.3856926447166,16,6600644,616921,661,Mill Creek Middle School,Mill Creek,620 Central Ave N,98032
-122.262930247623,47.6736526004065,17,6600699,834819,660,Sand Point Elementary School,Sand Point,6208 60th Ave NE,98115
-122.154148685554,47.6161685573204,18,163,98414,660,Cedar Park Christian Elementary School,Cedar Park Christian,625 140th Ave NE,98005
-122.255518213995,47.4632055167383,19,650073,607737,65,Tukwila Police Department,Tukwila PD,6200 Southcenter Blvd,98188
-122.472493549493,47.4382703693556,20,6005120,0000000,600,Island Center Forest Natural Area,Island Center Forest Natural Area,SW 188th St and 111th Ave SW,98070
-122.026699311802,47.2282429456222,21,300,0000000,120,Enumclaw Cemetery,Enumclaw Cemetary,SE 416th St & 236th Ave SE,98022
-122.209849483784,47.4415842246016,22,1754,592751,330,Pacific Medical Center Renton,Pacific Medical Center Renton,601 SE Carr Rd,98055
-122.301887436062,47.5988070412922,23,2092,448503,530,Promenade Market,Promenade Market,2301 S Jackson St,98144
-122.231220360813,47.3070458291832,24,570027,712835,570,Auburn Garage at Auburn Station P&R,Auburn Garage at Auburn Station P&R,A St SW & 2nd Ave SW,98001
-122.062181601772,47.5410300356175,25,580029,2661,580,Tibbetts Lot P&R Bicycle Lockers,Tibbetts Lot P&R,1675 Newport Way NW,98027
-122.199891735157,47.6147249942313,26,1842,104693,64,Social Security Office-Bellevue,SSO - Bellevue,505 106th Ave NE,98004
-122.301491338252,47.6640949202258,27,1873,349657,360,Travelodge-University,Travelodge - University,4725 25th Ave NE,98105
-122.356323764162,47.6256813406788,28,6006993,0000000,600,Counterbalance Park,Counterbalance Park,700 Queen Anne Ave N,98109
-122.227004282504,47.2728361306722,29,2057,729097,530,Bartell Drugs-Auburn,Bartell Drugs-Auburn,3902 A St SE,98002
-122.369813827336,47.6625627601881,30,1899,325574,63,Ballard DSHS,Ballard DSHS,907 NW Ballard Way,98107
-121.781368737488,47.4902593525189,31,1935,0000000,300,Mountain View Golf Course,Mountain View GC,340 Orchard Dr,98045
-122.108619278698,47.6722850618006,32,609,0000000,600,Bear Creek Park - Redmond,Bear Creek Park,Avondale Way NE & Union Hill Rd,98052
-122.186477867606,47.5026808384721,33,137,736125,600,McCormick Park -  Bellevue,McCormick Park in Bellevue,NE 12th St,98056
-122.233718592558,47.4715793653771,34,2299,595508,62,KC Development and Environmental Svcs,KC Development and Environmental Svcs,900 Oakesdale Ave SW,98057
-122.38501066414,47.7718822717562,35,1293,154702,600,Richmond Beach Center,Richmond Beach Center,NW 196th St & 21st Pl NW,98177
-122.06769081525,47.6163536113014,36,659,0000000,600,Roadside Park & Viewpoint,Roadside Park & Viewpoint,NE 8th St & E Lake Sammamish Pkwy,98074
-122.195790910434,47.6516641590807,37,453,0000000,600,Central Houghton Park,Central Houghton Park,NE 47th St & 108th Ave NE,98033
-122.251901014792,47.3788774203147,38,2420,803505,64,Kent Carrier Annex Post Office,Kent Carrier Annex Post Office,24800 64th AVE S,98032
-122.217733683961,47.4778240211086,39,679,0000000,690,Renton Center,Renton Center,Sunset Blvd W & Hardie Ave SW,98057
-122.170263289484,47.5104162177561,40,6002351,0000000,600,Honeydew Park,Honeydew Park,SE 104th and 120th Ave SE,98059
-122.296312946153,47.4291064652609,41,1550,397446,360,Comfort Inn,Comfort Inn,19333 Pacific Hwy S,98188
-122.353492039985,47.5160824904206,42,2318,518911,63,White Center Multiservice DSHS,White Center DSHS,9650 15th Ave SW,98106
